"Back","Retour"
"State ""%1"" does not exists.","L'état ""%1"" n'existe pas."
"* Required Fields","* Champs requis"
"Confirm password to continue","Confirmer le mot de passe avant de continuer"
"Password","Mot de passe"
"Erase Account","Effacer le compte"
"Warning","Attention"
"Do you really want to erase your personal data?","Voulez-vous vraiment oublier vos données personnelles?"
"Right to be forgotten","Droit à l'oubli"
"Your account will be erased soon. You can undo this action.","Votre compte sera effacé sous peu. Vous pouvez annuler cette action."
"Undo Action","Annuler l'action"
"Your account cannot be erased while you have pending orders.","Votre compte ne peut pas être effacé tant que vous avez des commandes en cours."
"Download Personal Data","Télécharger les données personnelles"
"Your personal data document is pending export.","Vos données personnelles sont en attente d'export."
"Information","Information"
"Undo Erase Personal Data","Annuler l'effacement des données personnelles"
"Cancellation of the erase of your %store_name information","Annulation de la demande d'effacement de vos données pour %store_name"
"%name,","%name,"
"We have received a request to cancel the erasure of the information associated with your account at %store_name.","Nous avons reçus une demande d'annulation pour l'effacement de vos données associés à votre compte sur %store_name."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Si vous n'avez pas autorisé cette action, veuillez nous contacter immédiatement à <a href=""mailto:%store_email"">%store_email</a>"
"Thanks,<br>%store_name","Merci, <br>%store_name"
"Erase your %store_name information","Effacer vos données de %store_name"
"Cookie Disclosure","Déclaration de cookie"
"Read More","Lire plus"
"Accept","Accepter"
"GDPR Compliance Erase Customer","Conformité RGPD: Effacer le client"
"GDPR Compliance Export Customer","Conformité RGPD: Exporter le client"
"GDPR Compliance Erase Guest Order","Conformité RGPD: Effacer l'invité"
"GDPR Compliance Export Guest Order","Conformité RGPD: Exporter l'invité"
"GDPR Compliance Section","Section sur la conformité RGPD"
"GDPR Compliance","Conformité RGPD"
"Cookie Settings","Paramètres sur les cookies"
"Right To Erasure","Droit à l'oubli"
"Erasure","Effacement"
"It will enable the erase action to the storefront.","Ceci activera l'action du droit d'oubli sur la vue client."
"Erasure Delay","Délai avant l'effacement"
"Erasure delay in minute before the execution by the cron.","Le délai pour l'effacement est exprimé en minutes avant l'éxécution par le CRON."
"Erase Entity Cron Schedule","Planification du CRON pour l'effacement des entités"
"Entities Lifetime","Durée de vie des entités"
"The time is in days.","La durée est en jours."
"Erase Old Entities Cron Schedule","Planification du CRON pour l'effacement des vielles entités"
"Sales Information Lifetime","Durée de vie des information de ventes"
"Allowed Order States to Erase","État de commande autorisé pour le droit à l'oubli"
"Customer Component Erasure Strategy","Stratégie d'effacement des entités pour les clients connectés"
"Defines the components erasure strategy with the component/erase processor mapper for the customers.","Défini la stratégie d'effacement des composants à partir d'un mappage composant/processeur d'oubli pour les clients connectés."
"Guest Component Erasure Strategy","Stratégie d'effacement pour les invités"
"Defines the components erasure strategy with the component/erase processor mapper for the guests.","Défini la stratégie d'effacement des composants à partir d'un mappage composant/processeur d'oubli pour les invités."
"Anonymization","Anonymisation"
"Delete Customer if no Orders","Supprimer le client s'il n'a pas de commande"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","Nous supprimerons le client s'il n'a pas de commande. Ce paramètre n'est applicable que si le composant ""client"" utilise le processus ""anonymize""."
"Customer Attributes Anonymizers","Anonymiseurs des attributs d'un client"
"Customer Custom Attributes Anonymizers","Anonymiseurs des attributs personnalisés d'un client"
"Customer Extensible Data Anonymizers","Anonymiseurs des données extensible d'un client"
"Customer Address Attributes Anonymizers","Anonymiseurs des attributs d'une adresse client"
"Customer Address Custom Attributes Anonymizers","Anonymiseurs des attributs personnalisés d'une adresse client"
"Customer Address Extensible Data Anonymizers","Anonymiseurs des données extensible d'une adresse client"
"Quote Attributes Anonymizers","Anonymiseurs des attributs d'un devis"
"Quote Custom Attributes Anonymizers","Anonymiseurs des attributs personnalisés d'une devis"
"Quote Extensible Data Anonymizers","Anonymiseurs des données extensible d'un devis"
"Quote Address Attributes Anonymizers","Anonymiseurs des attributs d'une adresse de devis"
"Quote Address Custom Attributes Anonymizers","Anonymiseurs des attributs personnalisés d'une adresse de devis"
"Quote Address Extensible Data Anonymizers","Anonymiseurs des données extensible d'une adresse de devis"
"Order Attributes Anonymizers","Anonymiseurs des attributs d'une commande"
"Order Custom Attributes Anonymizers","Anonymiseurs des attributs personnalisés d'une commande"
"Order Extensible Data Anonymizers","Anonymiseurs des données extensible d'une commande"
"Order Address Attributes Anonymizers","Anonymiseurs des attributs d'une adresse de commande"
"Order Address Custom Attributes Anonymizers","Anonymiseurs des attributs personnalisés d'une adresse de commande"
"Order Address Extensible Data Anonymizers","Anonymiseurs des données extensible d'une adresse de commande"
"Subscriber Attributes Anonymizers","Anonymiseurs des attributs d'un souscripteur"
"Export Settings","Paramètres d'export"
"Export","Export"
"It will enable the export action to the storefront.","Ceci activera l'action d'exporter sur la vue client."
"Customer","Client"
"Customer Attributes","Attributs client"
"This attributes list will be exported when processed.","Cette liste d'attributs sera exportée quand éxécutée."
"Customer Custom Attributes","Attributs personnalisés d'un client"
"Customer Extensible Data","Données extensible d'un client"
"Customer Address Attributes","Attributs d'une adresse de client"
"Customer Address Custom Attributes","Attributs personnalisés d'une adresse de client"
"Customer Address Extensible Data","Donnée extensible d'une adresse de client"
"Quote Attributes","Attributs d'un devis"
"Quote Custom Attributes","Attributs personnalisés d'un devis"
"Quote Extensible Data","Données extensible d'un devis"
"Quote Address Attributes","Attributs d'une adresse de devis"
"Quote Address Custom Attributes","Attributs personnalisés d'une adresse de devis"
"Quote Address Extensible Data","Données extensible d'une adresse de devis"
"Order Attributes","Attributs d'une commande"
"Order Custom Attributes","Attributs personnalisés d'une commande"
"Order Extensible Data","Données extensible d'une commande"
"Order Address Attributes","Attributs d'une adresse de commande"
"Order Address Custom Attributes","Attributs personnalisés d'une adresse de commande"
"Order Address Extensible Data","Données extensible de l’adresse de commande"
"Subscriber Attributes","Attributs souscripteur"
"General","Général"
"Enabled","Activé"
"Information page","Page d'information"
"This page should store information about privacy and GDPR policy.","Cette page devrait stocker les information concernant la politique de confidentialité et la politique RGPD."
"Are you sure you want to erase the selected customers?","Êtes-vous sûr de vouloir effacer le(s) client(s) sélectionné(s) ?"
"Erase items","Effacer les éléments"
"Erase (GDPR)","Effacer (RGPD)"
"Are you sure you want to export the selected customers?","Êtes-vous sûr de vouloir exporter le(s) client(s) sélectionné(s) ?"
"Export items","Exporter les éléments"
"Export (GDPR)","Export (RGPD)"
"New Action","Nouvelle action"
"Type","Type"
"Action types are registered in the code.","Les types d'actions sont déclarés dans le code."
"Parameters","Paramètres"
"Add Parameter","Ajouter un paramètre"
"Name","Nom"
"Value","Valeur"
"Edit","Editer"
"ID","ID"
"Performed From","Effectué depuis"
"Performed By","Effectué par"
"Performed At","Effectué à"
"State","Etat"
"Message","Message"
