"Back","Wróć"
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Jeśli nie autoryzowałeś tego działania, skontaktuj się z nami natychmiast pod adresem <a href=""mailto:%store_email"">%store_email</a>
"
"Thanks,<br>%store_name","Dziękujemy,<br>%store_name"
"Erase your %store_name information","Usuń swoje dane z %store_name"
"We have received a request to erase the information associated with your account at %store_name.","Otrzymaliśmy rządanie usunięcia danych powiązanych z Twoim kontem na  %store_name."
"You can cancel the erase whitin %delay hours by <a href=""%account_url"">logging into your account</a>.","Możesz anulować usuwanie danych w przeciągu %delay godzin przez <a href=""%account_url"">logging into your account</a>."
"Erasure of your %store_name information","Usunięcie twoich danych z %store_name"
"We have successfully erased the information associated with your account at %store_name.","Usunąłeś informacje powiązane se swoim kontem w %store_name."
"Export your %store_name information","Eksportuj swoje dane z %store_name"
"We have received a request to export the information associated with your account at %store_name.","Otrzymaliśmy rządanie eksportu informacji powiązanych z Twoim kontem w %store_name."
"We will notify you when the export will be ready. The action will be available in your account.","Powiadomimy Cię, gdy eksport będzie gotowy. Dane będą dostępne na Twoim koncie klienta."
"The export of you personal data is ready. The action is now available in your account.","Eksport Twoich danych osobowych jest gotowy. Dane są dostępne na Twoim koncie klienta"
"Cookie Disclosure","Pliki Cookie"
"Read More","Czytaj więcej"
"Accept","Akceptuj"
"GDPR Compliance Erase Customer","RODO Usuń Klienta"
"GDPR Compliance Export Customer","RODO Eksportuj Dane Klienta"
"GDPR Compliance Erase Guest Order","RODO Usuń Zamówienie Gościa"
"GDPR Compliance Export Guest Order","RODO Eksportuj Zamówienie Gościa"
"GDPR Actions","RODO Czynności"
"Execute Actions","Wykonaj Czynności"
"Edit Actions","Edytuj Czynności"
"Delete Actions","Usuń Czynności"
"GDPR Compliance Section","RODO Zgodność"
"Action Logs","Logi Czynności"
"GDPR Compliance","Zgodność z RODO"
"User Action","Czynności Użytkownia"
"Action Settings","Ustawienia Czynnoście"
"Cookie Policy","Polityka Cookies"
"Cookie Settings","Ustawienia Cookies"
"It will enable the cookie disclosure popin to the storefront.","Uaktywni monit z polityką Cookie."
"Data Erasure","Usuwanie Danych"
"Right To Erasure","Prawo do usunięcia"
"Erasure","Usunięcie"
"It will enable the erase action to the storefront.","Uaktywni możliwość usunięcia na stronie sklepu."
"Erasure Delay","Opóźnienie usunięcia"
"Erasure delay in minute before the execution by the cron. From 60 to 43800.","Czas opóźnienia usunięcia w minutach przed wykonaniem przez CRON. Od 60 do 43800."
"Erase Entity Cron Schedule","Harmonogram usuwania obiektów CRON"
"Entities Lifetime","Czas życia obiektów"
"The time is in days.","Czas w dniach."
"Erase Old Entities Cron Schedule","Harmonogram CRON usuwania starych obiektów"
"Sales Information Lifetime","Czas istnienia informacji sprzedażowch"
"Allowed Order States to Erase","Statusy Zamówień możliwe do usunięcia"
"Customer Component Erasure Strategy","Strategia czyszczenia komponentu Klienta"
"Defines the components erasure strategy with the component/erase processor mapper for the customers.","Defines the components erasure strategy with the component/erase processor mapper for the customers."
"Guest Component Erasure Strategy","Strategia czyszczenia komponentu Gościa"
"Defines the components erasure strategy with the component/erase processor mapper for the guests.","Defines the components erasure strategy with the component/erase processor mapper for the guests."
"Anonymization","Anonimizacja"
"Delete Customer if no Orders","Usuń Klienta jeśli nie ma Zamówień"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor."
"Customer Attributes Anonymizers","Anonimizery atrybutów Klienta"
"Customer Custom Attributes Anonymizers","Anonimizery dodatkowych danych Klienta"
"Customer Extensible Data Anonymizers","Anonimizery rozszerzalnych danych Klienta"
"Customer Address Attributes Anonymizers","Anonimizery atrybutów Adresu Klienta"
"Customer Address Custom Attributes Anonymizers","Anonimizery dodatkowych atrybutów Adresu Klienta"
"Customer Address Extensible Data Anonymizers","Anonimizery rozszerzalnych danych Adresu Klienta"
"Quote Attributes Anonymizers","Quote Attributes Anonymizers"
"Quote Custom Attributes Anonymizers","Quote Custom Attributes Anonymizers"
"Quote Extensible Data Anonymizers","Quote Extensible Data Anonymizers"
"Quote Address Attributes Anonymizers","Quote Address Attributes Anonymizers"
"Quote Address Custom Attributes Anonymizers","Quote Address Custom Attributes Anonymizers"
"Quote Address Extensible Data Anonymizers","Quote Address Extensible Data Anonymizers"
"Order Attributes Anonymizers","Anonimizery atrybutów Zamówienia"
"Order Custom Attributes Anonymizers","Anonimizery dodatkowych atrybutów Zamówienia"
"Order Extensible Data Anonymizers","Anonimizery rozszerzalnych danych Zamówienia"
"Order Address Attributes Anonymizers","Anonomizery Adresu Zamówienia"
"Order Address Custom Attributes Anonymizers","Anonimizery dodatkowych atrybutów Adresu Zamówienia"
"Order Address Extensible Data Anonymizers","Anonimizery rozszerzalnych danych Adresu Zamówienia"
"Subscriber Attributes Anonymizers","Anonimizer atrybutów Subskrybentów"
"Data Export","Eksport Danych"
"Export Settings","Ustawienia Eksportu"
"Export","Eksport"
"It will enable the export action to the storefront.","Włączy możliwośc eksportu na Stronie Klienta."
"Renderers","Renderery"
"Select formats of the export. Notice: At least one human and one machine readable format should be selected.","Wybierz format eksportu. Uwaga: Powinien zostać wybrany przynajmniej jeden format czytelny dla człowieka i jeden maszynowy."
"Export File Name","Nazwa Pliku"
"We will use this value as file name of the document export.","Ta wartośc zostanie użyta jako nazwa dokumentu."
"Export Scheduler","Harmonogram Eksportu"
"Export Life Time","Czas istnienia Eksportu"
"Export life time in minute before it is removed from the server.","Czas istnienia Eksportu (w minutach), zanim zostanie usunięty z serwera."
"Erase Expired Export Schedule","Harmonogram usuwania nieaktualnych Eksportów"
"Customer","Klient"
"Customer Attributes","Atrybuty Klienta"
"This attributes list will be exported when processed.","Ta lista atrybutów zostanie wyeksportowana."
"Customer Custom Attributes","Dodatkowe atrybuty Klienta"
"Comma-separated","Oddzielone przecinkiem"
"Customer Extensible Data","Rozszerzalne dane Klienta"
"Customer Address Attributes","Atrybuty Adresu Klienta"
"Customer Address Custom Attributes","Dodatkowe atrybuty Adresu Klienta"
"Customer Address Extensible Data","Rozszerzalne dane Adresu Klienta"
"Quote Attributes","Quote Attributes"
"Quote Custom Attributes","Quote Custom Attributes"
"Quote Extensible Data","Quote Extensible Data"
"Quote Address Attributes","Quote Address Attributes"
"Quote Address Custom Attributes","Quote Address Custom Attributes"
"Quote Address Extensible Data","Quote Address Extensible Data"
"Order Attributes","Atrybuty Zamówienia"
"Order Custom Attributes","Dodatkowe dane Zamówienia"
"Order Extensible Data","Rozszerzalne dane Zamówienia"
"Order Address Attributes","Atrybuty Adresu Zamówienia"
"Order Address Custom Attributes","Dodatkowe atrybuty Adresu Zamówienia"
"Order Address Extensible Data","Rozszerzalne dane Adresu Zamówienia"
"Subscriber Attributes","Atrybuty Subskrybenta"
"Global","Globalne"
"General","Ogólne"
"Enabled","Włączone"
"It will enable the module features in the admin and frontend ui.","Uruchomi funkcjonalności modułu w panelu admina i na stronie frontendu."
"Information page","Strona Informacji"
"This page should store information about privacy and GDPR policy.","Ta strona powinna zawierać informacje o polityce RODO."
"User Notification","Powiadomienie Użytkownika"
"Notification","Powiadomienie"
"Pending Action","Status: W trakcie"
"Email Sender","Nadawca"
"Pending Erasure Template","Szablon Usuwanie W Trakcie"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Szablon emaili wybrany w oparciu o ustawienia Szablonu Frontendu, gdy opcja ""Domyślne"" jes wybrana."
"Pending Erasure Template for Guest","Szablon Usuwanie W Trakcie dla Gościa"
"Send Email Copy To","Wyślij kopię maila do"
"Send Email Copy Method","Metoda wysłania kopii maila"
"Succeeded Action","Status: Ukończono"
"Succeeded Erasure Template","Szablon Usuwanie Ukończone"
"Succeeded Erasure Template for Guest","Szablon Usuwanie Ukończone dla Gościa"
"Canceled Action","Status: Anulowano"
"Canceled Erasure Template","Szablon Usuwanie Anulowane"
"Canceled Erasure Template for Guest","Szablon Usuwanie Anulowane dla Gościa"
"Pending Export Template","Szablon Eksport W Trakcie"
"Pending Export Template for Guest","Szablon Eksport W Trakcie dla Gościa"
"Ready Action","Status: Gotowość"
"Ready Export Template","Szablon Eksport Gotowy"
"Ready Export Template for Guest","Szablon Eksport Gotowy dla Gościa"
"Are you sure you want to erase the selected customers?","Jesteś pewien, że chcesz wyczyścić wybranych użytkowników?"
"Erase items","Wyczyść obiekty"
"Erase (GDPR)","Wyczyść (RODO)"
"Are you sure you want to export the selected customers?","Jesteś pewien, że chcesz wyeksportować wybranych użytkowników?"
"Export items","Eksport obiektów"
"Export (GDPR)","Eksport (RODO)"
"New Action","Nowa Czynność"
"Type","Typ"
"Action types are registered in the code.","Typy czynności są zarejestrowane w kodzie."
"Parameters","Parametry"
"Add Parameter","Dodaj Parametr"
"Name","Nazwa"
"Value","Wartość"
"Edit","Edytuj"
"Are you sure you want to delete the action log?","Jestes pewien, że chcesz usunąć log?"
"Delete items","Usuń obiekty"
"Delete","Usuń"
"ID","ID"
"Performed From","Wykonane z"
"Performed By","Wykonane przez"
"Performed At","Wykonane o"
"State","Stan"
"Message","Wiadomość"
"Privacy Settings","Ustawienia Prywatności"
