"Back","Tilbage"
"We use cookies to make your experience better.","Vi bruger cookies for at forbedre din oplevelse."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Lær mere.</a>"
"Allow Cookies","Tillad Cookies"
"Undo Erase Personal Data","Fortryd Sletning af Persondata"
"Cancellation of the erase of your %store_name information","Annullering af sletningen af dine %store_name oplysninger"
"%name,","%name,"
"We have received a request to cancel the erasure of the information associated with your account at %store_name.","Vi har modtaget en anmodning om at annullere sletningen af oplysningerne forbundet med din konto hos %store_name."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Hvis du ikke har godkendt denne handling, kontakt os venligst straks på <a href=""mailto:%store_email"">%store_email</a>"
"Erase your %store_name information","Slet dine %store_name oplysninger"
"We have received a request to erase the information associated with your account at %store_name.","Vi har modtaget en anmodning om at slette oplysningerne forbundet med din konto hos %store_name."
"You can cancel the erase within %delay hours by <a href=""%account_url"">logging into your account</a>.","Du kan annullere sletningen inden for %delay timer ved at logge ind på din konto."
"Erasure of your %store_name information","Sletning af dine %store_name oplysninger"
"We have successfully erased the information associated with your account at %store_name.","Vi har succesfuldt slettet oplysningerne forbundet med din konto hos %store_name."
"Export your %store_name information","Eksportér dine %store_name oplysninger"
"We have received a request to export the information associated with your account at %store_name.","Vi har modtaget en anmodning om at eksportere oplysningerne forbundet med din konto hos %store_name."
"We will notify you when the export will be ready. The action will be available in your account.","Vi vil underrette dig, når eksporten er klar. Handlingen vil være tilgængelig på din konto."
"The export of you personal data is ready. The action is now available in your account.","Eksporten af dine persondata er klar. Handlingen er nu tilgængelig på din konto."
"GDPR Compliance Erase Customer","GDPR Overholdelse Slet Kunde"
"GDPR Compliance Export Customer","GDPR Overholdelse Eksport Kunde"
"GDPR Compliance Erase Guest Order","GDPR Overholdelse Slet Gæsteordre"
"GDPR Compliance Export Guest Order","GDPR Overholdelse Export Gæsteordre"
"GDPR Actions","GDPR Handlinger"
"Execute Actions","Udfør Handlinger"
"Edit Actions","Rediger Handlinger"
"Delete Actions","Slet Handlinger"
"GDPR Compliance Section","GDPR Compliance Sektion"
"Action Logs","Handlingslog"
"GDPR Compliance","GDPR Compliance"
"User Action","Brugerhandling"
"Action Settings","Handlingsindstillinger"
"Cookie Policy","Cookiepolitik"
"Cookie Settings","Cookieindstillinger"
"Improve Cookie Restriction Message","Forbedre Cookie Restriktionsbesked"
"It will allows to replace the default cookie restriction popin with content of your own. Make sure that the following configuration is enabled: ""General / Web / Default Cookie Settings / Cookie Restriction Mode"".","Det vil erstatte den standard cookie restriktions dialog med indhold af dit eget. Sørg for, at følgende konfiguration er aktiveret: ""Generelt / Web / Standard Cookie Indstillinger / Cookie Restriktionsmodus""."
"Information Block","Informationsblok"
"Information Page","Informationside"
"Data Erasure","Data Sletning"
"Right To Erasure","Ret til Sletning"
"Erasure","Sletning"
"It will enable the erase action to the storefront.","Det vil aktivere slettehandlingen til butikken."
"Erasure Delay","Sletteforsinkelse"
"Erasure delay in minute before the execution by the cron. From 60 to 43800.","Sletteforsinkelse i minutter før udførelsen af cron. Fra 60 til 43800."
"Erase Entity Cron Schedule","Slet Enhed Cron Tidsplan"
"Entities Lifetime","Enheders Levetid"
"The time is in days.","Tiden er i dage."
"Erase Old Entities Cron Schedule","Planlægning af cron-job til sletning af gamle registreringer"
"Sales Information Lifetime","Opbevaringsperiode for salgsdata"
"Allowed Order States to Erase","Tilladte order status for sletning"
"Customer Component Erasure Strategy","Sletningsstrategi for kundeoplysninger"
"Defines the components erasure strategy with the component/erase processor mapper for the customers.","Definerer sletningsstrategi for kundekomponenter via komponent-/sletningsprocessor-mapping"
"Guest Component Erasure Strategy","Gæst Komponent Slette Strategi"
"Defines the components erasure strategy with the component/erase processor mapper for the guests.","Definerer komponentens slettestrategi med komponent/slette processor for gæsterne."
"Anonymization","Anonymisering"
"Delete Customer if no Orders","Slet kunde hvis ingen ordrer"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","Vi vil slette kunden, hvis han ikke har nogen ordrer. Det er kun gældende, hvis komponenten ""kunde"" bruger ""Anonymisering"" processoren."
"Customer Attributes Anonymizers","Kunde attribut anonymisering"
"Customer Custom Attributes Anonymizers","Kunde brugerdefinerede attribut anonymisering"
"Customer Extensible Data Anonymizers","Kunde udvidet attribut anonymisering"
"Customer Address Attributes Anonymizers","Kunde adresse attribut anonymisering"
"Customer Address Custom Attributes Anonymizers","Kunde udvidet brugerdefinerede adresse attribut anonymisering"
"Customer Address Extensible Data Anonymizers","Kunde adresse tilpassede attribut anonymisering"
"Quote Attributes Anonymizers","Anonymisering af tilbudsattributter"
"Quote Custom Attributes Anonymizers","Anonymisering af brugerdefinerede tilbudsattributter"
"Quote Extensible Data Anonymizers","Anonymisering af udvidet data i tilbud"
"Quote Address Attributes Anonymizers","Anonymisering af adresseattributter i tilbud"
"Quote Address Custom Attributes Anonymizers","Anonymisering af brugerdefinerede adresseattributter i tilbud"
"Quote Address Extensible Data Anonymizers","Anonymisering af udvidet adresse-data i tilbud"
"Order Attributes Anonymizers","Anonymisering af ordre-attributter"
"Order Custom Attributes Anonymizers","Anonymisering af brugerdefinerede ordre-attributter"
"Order Extensible Data Anonymizers","Anonymisering af ekstra ordredata"
"Order Address Attributes Anonymizers","Anonymisering af adresseattributter i ordrer"
"Order Address Custom Attributes Anonymizers","Anonymisering af brugerdefinerede adresseattributter i ordrer"
"Order Address Extensible Data Anonymizers","Ordre adresse udvidet attribut anonymisering"
"Subscriber Attributes Anonymizers","Abonnent attribut anonymisering"
"Data Export","Data Eksport"
"Export Settings","Eksportindstillinger"
"Export","Eksport"
"It will enable the export action to the storefront.","Det vil aktivere eksport knappen i butikken."
"Renderers","Renderere"
"Select formats of the export. Notice: At least one human and one machine readable format should be selected.","Vælg formater af eksporten. Bemærk: Mindst ét menneskelæsbart og ét maskinlæsbart format skal vælges."
"Export File Name","Eksport Filnavn"
"We will use this value as file name of the document export.","Vi vil bruge denne værdi som filnavn på eksport dokumentet."
"Export Scheduler","Eksport Tidsplanlægger"
"Export Life Time","Eksport Levetid"
"Export life time in minute before it is removed from the server.","Eksport levetid i minutter før den fjernes fra serveren."
"Erase Expired Export Schedule","Slet Udløbet Eksport Tidsplan"
"Customer","Kunde"
"Customer Attributes","Kunde Attributter"
"This attributes list will be exported when processed.","Denne attributliste vil blive eksporteret, når den behandles."
"Customer Custom Attributes","Kunde tilpassede attributter"
"Comma-separated","Komma-separeret"
"Customer Extensible Data","Kunde udvidet data"
"Customer Address Attributes","Kunde adresse attributter"
"Customer Address Custom Attributes","Kunde adresse tilpassede attributter"
"Customer Address Extensible Data","Kunde adresse udvidet data"
"Quote Attributes","Tilbuds attributter"
"Quote Custom Attributes","Tilbud brugerdefinerede attributter"
"Quote Extensible Data","Tilbuds udvidet data"
"Quote Address Attributes","Tilbuds adresse attributter"
"Quote Address Custom Attributes","Tilbuds Adresse brugerdefinerede Attributter"
"Quote Address Extensible Data","Tilbuds adresse udvidet data"
"Order Attributes","Ordre attributter"
"Order Custom Attributes","Ordre brugerdefinerede attributter"
"Order Extensible Data","Ordre udvidet data"
"Order Address Attributes","Ordre adresse attributter"
"Order Address Custom Attributes","Ordre adresse brugerdefinerede attributter"
"Order Address Extensible Data","Ordre adresse udvidet data"
"Subscriber Attributes","Abonnent attributter"
"Global","Global"
"General","Generelt"
"Enabled","Aktiveret"
"It will enable the module features in the admin and frontend ui.","Det vil aktivere modulens funktioner i admin og frontend UI."
"Information page","Informationside"
"This page should store information about privacy and GDPR policy.","Denne side bør indeholde information om privatliv og GDPR-politik."
"User Notification","Brugernotifikation"
"Notification","Notifikation"
"Pending Action","Afventende handling"
"Email Sender","E-mail afsender"
"Pending Erasure Template","Afventende slettet skabelon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail skabelon vælges ud fra teamet fallback når ""Standard"" mulighed er valgt."
"Pending Erasure Template for Guest","Afventende sletning skabelon for gæst"
"Send Email Copy To","Send e-mail kopi til"
"Send Email Copy Method","Send e-mail kopi metode"
"Succeeded Action","Gennemført handling"
"Succeeded Erasure Template","Gennemført sletning skabelon"
"Succeeded Erasure Template for Guest","Afventende sletnings skabelon for Gæst"
"Canceled Action","Annulleret handling"
"Canceled Erasure Template","Annulleret sletnings skabelon"
"Canceled Erasure Template for Guest","Annulleret sletningsskabelon for gæst"
"Pending Export Template","Afventende eksportskabelon"
"Pending Export Template for Guest","Annulleret sletnings skabelon for gæst"
"Ready Action","Klar handling"
"Ready Export Template","Klar eksport skabelon"
"Ready Export Template for Guest","Klar eksport skabelon for gæst"
"Are you sure you want to erase the selected customers?","Er du sikker på, at du vil slette de valgte kunder?"
"Erase items","Slet elementer"
"Erase (GDPR)"," Slet (GDPR)"
"Are you sure you want to export the selected customers?","Er du sikker på, at du vil eksportere de valgte kunder?"
"Export items","Eksportér elementer"
"Export (GDPR)","Eksportér (GDPR)"
"New Action","Ny Handling"
"Type","Type"
"Action types are registered in the code.","Handlingstyper er registreret i koden."
"Parameters","Parametre"
"Add Parameter","Tilføj Parameter"
"Name","Navn"
"Value","Værdi"
"Edit","Rediger"
"Are you sure you want to delete the action log?","Er du sikker på, at du vil slette handlingsloggen?"
"Delete items","Slet elementer"
"Delete","Slet"
"ID","ID"
"Performed From","Udført fra"
"Performed By","Udført af"
"Performed At","Udført kl"
"State","Tilstand"
"Message","Besked"
"Privacy Settings","Privatlivsindstillinger"
