"Back","Назад"
"Your account will be erased soon. You can undo this action.","Акаунта ви ще бъде изтрит скоро. Операцията все още може да бъде прекратена."
"Undo Action","Прекратяване"
"Your account cannot be erased while you have pending orders.","Не може да премахнем акаунта Ви докато имате незавършени поръчки."
"Download Personal Data","Сваляне на личната Ви информация"
"Your personal data document is pending export.","Документа с личните ви данни ще бъде готов за сваляне скоро."
"Information","Информация"
"Undo Erase Personal Data","Undo Erase Personal Data"
"Cancellation of the erase of your %store_name information","Cancellation of the erase of your %store_name information"
"%name,","%name,"
"We have received a request to cancel the erasure of the information associated with your account at %store_name.","We have received a request to cancel the erasure of the information associated with your account at %store_name."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"Thanks,<br>%store_name","Благодаря,<br>%store_name"
"Erase your %store_name information","Erase your %store_name information"
"We have received a request to erase the information associated with your account at %store_name.","We have received a request to erase the information associated with your account at %store_name."
"You can cancel the erase whitin %delay hours by <a href=""%account_url"">logging into your account</a>.","You can cancel the erase whitin %delay hours by <a href=""%account_url"">logging into your account</a>."
"Erasure of your %store_name information","Erasure of your %store_name information"
"We have successfully erased the information associated with your account at %store_name.","We have successfully erased the information associated with your account at %store_name."
"Export your %store_name information","Export your %store_name information"
"We have received a request to export the information associated with your account at %store_name.","We have received a request to export the information associated with your account at %store_name."
"We will notify you when the export will be ready. The action will be available in your account.","We will notify you when the export will be ready. The action will be available in your account."
"The export of you personal data is ready. The action is now available in your account.","The export of you personal data is ready. The action is now available in your account."
"Cookie Disclosure","Информация за Бисквитките на сайта"
"Read More","Прочетете повече"
"Accept","Приемам"
"GDPR Compliance Erase Customer","GDPR Compliance Erase Customer"
"GDPR Compliance Export Customer","GDPR Compliance Export Customer"
"GDPR Compliance Erase Guest Order","GDPR Compliance Erase Guest Order"
"GDPR Compliance Export Guest Order","GDPR Compliance Export Guest Order"
"GDPR Actions","GDPR Actions"
"Execute Actions","Execute Actions"
"Edit Actions","Edit Actions"
"Delete Actions","Delete Actions"
"GDPR Compliance Section","GDPR Compliance Section"
"Action Logs","Action Logs"
"GDPR Compliance","GDPR Compliance"
"User Action","User Action"
"Action Settings","Action Settings"
"Cookie Policy","Cookie Policy"
"Cookie Settings","Cookie Settings"
"It will enable the cookie disclosure popin to the storefront.","It will enable the cookie disclosure popin to the storefront."
"Data Erasure","Data Erasure"
"Right To Erasure","Right To Erasure"
"Erasure","Изтриване"
"It will enable the erase action to the storefront.","It will enable the erase action to the storefront."
"Erasure Delay","Erasure Delay"
"Erasure delay in minute before the execution by the cron. From 60 to 43800.","Erasure delay in minute before the execution by the cron. From 60 to 43800."
"Erase Entity Cron Schedule","Erase Entity Cron Schedule"
"Entities Lifetime","Entities Lifetime"
"The time is in days.","The time is in days."
"Erase Old Entities Cron Schedule","Erase Old Entities Cron Schedule"
"Sales Information Lifetime","Sales Information Lifetime"
"Allowed Order Statuses to Erase","Allowed Order Statuses to Erase"
"Customer Component Erasure Strategy","Customer Component Erasure Strategy"
"Defines the components erasure strategy with the component/erase processor mapper for the customers.","Defines the components erasure strategy with the component/erase processor mapper for the customers."
"Guest Component Erasure Strategy","Guest Component Erasure Strategy"
"Defines the components erasure strategy with the component/erase processor mapper for the guests.","Defines the components erasure strategy with the component/erase processor mapper for the guests."
"Anonymization","Анонимизиране"
"Delete Customer if no Orders","Delete Customer if no Orders"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor."
"Customer Attributes Anonymizers","Customer Attributes Anonymizers"
"Customer Custom Attributes Anonymizers","Customer Custom Attributes Anonymizers"
"Customer Extensible Data Anonymizers","Customer Extensible Data Anonymizers"
"Customer Address Attributes Anonymizers","Customer Address Attributes Anonymizers"
"Customer Address Custom Attributes Anonymizers","Customer Address Custom Attributes Anonymizers"
"Customer Address Extensible Data Anonymizers","Customer Address Extensible Data Anonymizers"
"Quote Attributes Anonymizers","Quote Attributes Anonymizers"
"Quote Custom Attributes Anonymizers","Quote Custom Attributes Anonymizers"
"Quote Extensible Data Anonymizers","Quote Extensible Data Anonymizers"
"Quote Address Attributes Anonymizers","Quote Address Attributes Anonymizers"
"Quote Address Custom Attributes Anonymizers","Quote Address Custom Attributes Anonymizers"
"Quote Address Extensible Data Anonymizers","Quote Address Extensible Data Anonymizers"
"Order Attributes Anonymizers","Order Attributes Anonymizers"
"Order Custom Attributes Anonymizers","Order Custom Attributes Anonymizers"
"Order Extensible Data Anonymizers","Order Extensible Data Anonymizers"
"Order Address Attributes Anonymizers","Order Address Attributes Anonymizers"
"Order Address Custom Attributes Anonymizers","Order Address Custom Attributes Anonymizers"
"Order Address Extensible Data Anonymizers","Order Address Extensible Data Anonymizers"
"Subscriber Attributes Anonymizers","Subscriber Attributes Anonymizers"
"Data Export","Експортиране на данни"
"Export Settings","Настройки на експортирането"
"Export","Експортиране"
"It will enable the export action to the storefront.","It will enable the export action to the storefront."
"Renderers","Renderers"
"Select formats of the export. Notice: At least one human and one machine readable format should be selected.","Select formats of the export. Notice: At least one human and one machine readable format should be selected."
"Export File Name","Export File Name"
"We will use this value as file name of the document export.","We will use this value as file name of the document export."
"Export Scheduler","Export Scheduler"
"Export Life Time","Export Life Time"
"Export life time in minute before it is removed from the server.","Export life time in minute before it is removed from the server."
"Erase Expired Export Schedule","Erase Expired Export Schedule"
"Customer","Клиент"
"Customer Attributes","Customer Attributes"
"This attributes list will be exported when processed.","This attributes list will be exported when processed."
"Customer Custom Attributes","Customer Custom Attributes"
"Comma-separated","Comma-separated"
"Customer Extensible Data","Customer Extensible Data"
"Customer Address Attributes","Customer Address Attributes"
"Customer Address Custom Attributes","Customer Address Custom Attributes"
"Customer Address Extensible Data","Customer Address Extensible Data"
"Quote Attributes","Quote Attributes"
"Quote Custom Attributes","Quote Custom Attributes"
"Quote Extensible Data","Quote Extensible Data"
"Quote Address Attributes","Quote Address Attributes"
"Quote Address Custom Attributes","Quote Address Custom Attributes"
"Quote Address Extensible Data","Quote Address Extensible Data"
"Order Attributes","Order Attributes"
"Order Custom Attributes","Order Custom Attributes"
"Order Extensible Data","Order Extensible Data"
"Order Address Attributes","Order Address Attributes"
"Order Address Custom Attributes","Order Address Custom Attributes"
"Order Address Extensible Data","Order Address Extensible Data"
"Subscriber Attributes","Subscriber Attributes"
"Global","Глобални"
"General","Общи"
"Enabled","Включено"
"It will enable the module features in the admin and frontend ui.","It will enable the module features in the admin and frontend ui."
"Information page","Information page"
"This page should store information about privacy and GDPR policy.","This page should store information about privacy and GDPR policy."
"User Notification","User Notification"
"Notification","Notification"
"Pending Action","Pending Action"
"Email Sender","Email Sender"
"Pending Erasure Template","Pending Erasure Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Pending Erasure Template for Guest","Pending Erasure Template for Guest"
"Send Email Copy To","Send Email Copy To"
"Send Email Copy Method","Send Email Copy Method"
"Succeeded Action","Succeeded Action"
"Succeeded Erasure Template","Succeeded Erasure Template"
"Succeeded Erasure Template for Guest","Succeeded Erasure Template for Guest"
"Canceled Action","Canceled Action"
"Canceled Erasure Template","Canceled Erasure Template"
"Canceled Erasure Template for Guest","Canceled Erasure Template for Guest"
"Pending Export Template","Pending Export Template"
"Pending Export Template for Guest","Pending Export Template for Guest"
"Ready Action","Ready Action"
"Ready Export Template","Ready Export Template"
"Ready Export Template for Guest","Ready Export Template for Guest"
"Are you sure you want to erase the selected customers?","Сигурен ли сте, че желаете да изтриете избраните клиенти?"
"Erase items","Изтриване"
"Erase (GDPR)","Изтриване (GDPR)"
"Are you sure you want to export the selected customers?","Сигурен ли сте, че желаете да експортирате избраните клиенти?"
"Export items","Експортиране"
"Export (GDPR)","Експортиране (GDPR)"
"New Action","Ново действие"
"Type","Тип"
"Action types are registered in the code.","Action types are registered in the code."
"Parameters","Параметри"
"Add Parameter","Нов параметър"
"Name","Име"
"Value","Стойност"
"Edit","Редакция"
"Are you sure you want to delete the action log?","Сигурен ли сте, че желаете да изтриете лога със събития?"
"Delete items","Изтриване на записи"
"Delete","Изтриване"
"ID","ID"
"Performed From","Изпълнено от"
"Performed By","Изпълнено от"
"Performed At","Изпълнено на"
"State","Състояние"
"Message","Съобщение"
"Privacy Settings","Настройки за поверителност"
