"Back","Zurück"
"Cookie Disclosure","Cookie-Offenlegung"
"Read More","Weiterlesen"
"Accept","Akzeptieren"
"GDPR Compliance Erase Customer","GDPR-Konformität Kunde löschen"
"GDPR Compliance Export Customer","GDPR-Konformität Exportkunde"
"GDPR Compliance Erase Guest Order","GDPR-Compliance Gastbestellung löschen"
"GDPR Compliance Export Guest Order","GDPR-Compliance Export Gastbestellung"
"GDPR Actions","GDPR-Aktionen"
"Execute Actions","Aktionen ausführen"
"Edit Actions","Aktionen bearbeiten"
"Delete Actions","Aktionen löschen"
"GDPR Compliance Section","Abschnitt GDPR-Konformität"
"Action Logs","Aktionsprotokolle"
"GDPR Compliance","GDPR-Konformität"
"User Action","Benutzeraktion"
"Action Settings","Aktionseinstellungen"
"Cookie Policy","Cookie-Richtlinie"
"Cookie Settings","Cookie-Einstellungen"
"It will enable the cookie disclosure popin to the storefront.","Cookie-Offenlegung bis zur Storefront wird ermöglicht."
"Data Erasure","Löschen von Daten"
"Right To Erasure","Recht auf Löschung"
"Erasure","Löschung"
"It will enable the erase action to the storefront.","Es wird die Löschaktion bis zur Storefront ermöglicht."
"Erasure Delay","Verzögerung der Löschung"
"Erasure delay in minute before the execution by the cron.","Löschverzögerung in Minuten vor der Ausführung durch den Cron."
"Erase Entity Cron Schedule","Cron-Zeitplan für das Löschen der Entität "
"Entities Lifetime","Entitäten Lebensdauer"
"The time is in days.","Die Zeit wird in Tagen angegeben."
"Erase Old Entities Cron Schedule","Alte Entitäten löschen Cron-Zeitplan"
"Sales Information Lifetime","Lebensdauer der Verkaufsinformationen"
"Allowed Order States to Erase","Erlaubte Bestellstatus zu löschen"
"Customer Component Erasure Strategy","Strategie zum Löschen von Kundenkomponenten"
"Defines the components erasure strategy with the component/erase processor mapper for the customers.","Definiert die Komponentenlöschstrategie mit dem Komponenten-/Löschprozessor-Mapper für die Kunden."
"Guest Component Erasure Strategy","Löschstrategie für die Gast-Komponente"
"Defines the components erasure strategy with the component/erase processor mapper for the guests.","Definiert die Komponentenlöschstrategie mit dem Komponenten-/Löschprozessor-Mapper für die Gäste."
"Anonymization","Anonymisierung"
"Delete Customer if no Orders","Kunde löschen, wenn keine Aufträge"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","Wir werden den Kunden löschen, wenn er keine Bestellungen hat. Es ist nur anwendbar, wenn die Komponente ""Kunde"" den ""anonymieren""-Prozessor verwendet."
"Customer Attributes Anonymizers","Anonymisierer für Kundenattribute"
"Customer Custom Attributes Anonymizers","Anonymisierer für kundenspezifische Attribute"
"Customer Extensible Data Anonymizers","Anonymisierer für erweiterbare Kundendaten"
"Customer Address Attributes Anonymizers","Anonymisierer für Attribute der Kundenadresse"
"Customer Address Custom Attributes Anonymizers","Anonymisierer für benutzerdefinierte Attribute der Kundenadresse"
"Customer Address Extensible Data Anonymizers","Anonymisierer für erweiterbare Daten der Kundenadresse"
"Quote Attributes Anonymizers","Anonymisierer für Angebotsattribute "
"Quote Custom Attributes Anonymizers","Anonymisierer für benutzerdefinierte Angebotsattribute"
"Quote Extensible Data Anonymizers","Anonymisierer für erweiterbare Angebotsdaten"
"Quote Address Attributes Anonymizers","Anonymisierer für Attribute der Angebotsadresse"
"Quote Address Custom Attributes Anonymizers","Anonymisierer für benutzerdefinierte Attribute der Angebotsadresse"
"Quote Address Extensible Data Anonymizers","Anonymisierer für erweiterbare Daten der Angebotsadresse"
"Order Attributes Anonymizers","Anonymisierer für Bestellattribute "
"Order Custom Attributes Anonymizers","Anonymisierer für benutzerdefinierte Bestellattribute"
"Order Extensible Data Anonymizers","Anonymisierer für erweiterbare Daten der Bestellung"
"Order Address Attributes Anonymizers","Anonymisierer für Attribute der Bestelladresse"
"Order Address Custom Attributes Anonymizers","Anonymisierer für benutzerdefinierte Attribute der Bestelladresse"
"Order Address Extensible Data Anonymizers","Anonymisierer für erweiterbare Daten der Bestelladresse"
"Subscriber Attributes Anonymizers","Anonymisierer für Abonnenten-Attribute"
"Data Export","Datenexport"
"Export Settings","Export-Einstellungen"
"Export","Exportieren"
"It will enable the export action to the storefront.","Exportaktion zur Storefront wird aktiviert."
"Renderers","Renderer"
"Select formats of the export. Notice: At least one human and one machine readable format should be selected.","Wählen Sie Formate für den Export aus. Beachten Sie: Es sollte mindestens ein menschenlesbares und ein maschinenlesbares Format gewählt werden."
"Export File Name","Name der Exportdatei"
"We will use this value as file name of the document export.","Wir werden diesen Wert als Dateinamen für den Export des Dokuments verwenden."
"Export Scheduler","Export-Zeitplaner"
"Export Life Time","Export-Lebensdauer"
"Export life time in minute before it is removed from the server.","Export-Lebensdauer in Minuten, bevor Löschung vom Server erfolgt."
"Erase Expired Export Schedule","Abgelaufenen Exportzeitplan löschen"
"Customer","Kunde"
"Customer Attributes","Kundenattribute"
"This attributes list will be exported when processed.","Diese Attributliste wird bei der Verarbeitung exportiert."
"Customer Custom Attributes","Kundenspezifische Attribute"
"Comma-separated","Komma-getrennt"
"Customer Extensible Data","Erweiterbare Kundendaten"
"Customer Address Attributes","Kundenadress-Attribute"
"Customer Address Custom Attributes","Benutzerdefinierte Attribute der Kundenadresse"
"Customer Address Extensible Data","Erweiterbare Daten der Kundenadresse"
"Quote Attributes","Angebotsattribute"
"Quote Custom Attributes","Benutzerdefinierte Angebotsattribute"
"Quote Extensible Data","Erweiterbare Daten zum Angebot"
"Quote Address Attributes","Attribute der Angebotsadresse"
"Quote Address Custom Attributes","Benutzerdefinierte Attribute der Angebotsadresse"
"Quote Address Extensible Data","Erweiterbare Daten der Angebotsadresse"
"Order Attributes","Bestellattribute"
"Order Custom Attributes","Benutzerdefinierte Bestellattribute"
"Order Extensible Data","Erweiterbare Daten zur Bestelladresse"
"Order Address Attributes","Attribute der Bestelladresse"
"Order Address Custom Attributes","Benutzerdefinierte Attribute der Bestelladresse"
"Order Address Extensible Data","Erweiterbare Daten der Bestelladresse"
"Subscriber Attributes","Abonnenten-Attribute"
"Global","Global"
"General","Allgemein"
"Enabled","Aktiviert"
"It will enable the module features in the admin and frontend ui.","Modulfunktionen im Admin und Frontend UI werden aktiviert."
"Information page","Informationsseite"
"This page should store information about privacy and GDPR policy.","Diese Seite sollte Informationen über Datenschutz und GDPR-Richtlinien speichern."
"User Notification","Benutzer-Benachrichtigung"
"Notification","Benachrichtigung"
"Pending Action","Ausstehende Aktion"
"Email Sender","E-Mail-Absender"
"Pending Erasure Template","Template für ausstehende Löschung"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-Mail-Template, das bei Auswahl der Option ""Standard"" auf der Grundlage des Theme-Fallbacks ausgewählt wird."
"Pending Erasure Template for Guest","Template für ausstehende Löschung (Gast)"
"Send Email Copy To","E-Mail-Kopie senden an"
"Send Email Copy Method","E-Mail-Kopiermethode senden"
"Succeeded Action","Erfolgreiche Aktion"
"Succeeded Erasure Template","Template für die erfolgreiche Löschung"
"Succeeded Erasure Template for Guest","Template für erfolgreiche Löschung (Gast)"
"Canceled Action","Abgebrochene Aktion"
"Canceled Erasure Template","Template für stornierte Löschung"
"Canceled Erasure Template for Guest","Template für stornierte Löschung (Gast)"
"Pending Export Template","Template für ausstehenden Export"
"Pending Export Template for Guest","Template für ausstehenden Export (Gast)"
"Ready Action","Einsatzbereit"
"Ready Export Template","Fertige Exportvorlage"
"Ready Export Template for Guest","Fertige Exportvorlage für Gast"
"Are you sure you want to erase the selected customers?","Sind Sie sicher, dass Sie die ausgewählten Kunden löschen möchten?"
"Erase items","Artikel löschen"
"Erase (GDPR)","Löschen (GDPR)"
"Are you sure you want to export the selected customers?","Sind Sie sicher, dass Sie die ausgewählten Kunden exportieren möchten?"
"Export items","Artikel exportieren"
"Export (GDPR)","Export (GDPR)"
"New Action","Neue Aktion"
"Type","Eingabe"
"Action types are registered in the code.","Aktionstypen werden im Code registriert."
"Parameters","Parameter"
"Add Parameter","Parameter hinzufügen"
"Name","Name"
"Value","Wert"
"Edit","Bearbeiten"
"Are you sure you want to delete the action log?","Sind Sie sicher, dass Sie das Aktionsprotokoll löschen möchten?"
"Delete items","Elemente löschen"
"Delete","Löschen"
"ID","ID"
"Performed From","Durchgeführt von/durch"
"Performed By","Durchgeführt von"
"Performed At","Durchgeführt bei"
"State","Staat"
"Message","Nachricht"
